"STATENAME","YEAR","White","Black","Latine","Asian"
"New Mexico",2018,0.369158949866089,0.0189130812416366,0.491053379071006,0.0163045449426084
"New York",2018,0.55222339501128,0.142683409025049,0.191949845588081,0.0847113547910577
"North Carolina",2018,0.626502125462989,0.210678356873614,0.0957534077710856,0.0296777039221389
"North Dakota",2018,0.837783540351833,0.0322138414923751,0.035393782472039,0.0201111203207043
"Ohio",2018,0.785620134819096,0.122765312493103,0.0386352915733702,0.0233855474025193
"Oklahoma",2018,0.650888810495554,0.0719868914622304,0.108893582908179,0.0207647374044497
"Oregon",2018,0.750905394857629,0.0185791773380807,0.132692217290948,0.0487599604172369
"Pennsylvania",2018,0.759406842788275,0.105762915142117,0.0758770553116797,0.0352068312321485
"Rhode Island",2018,0.71430841329216,0.0576781753781985,0.159593876943011,0.034622605373044
"South Carolina",2018,0.635428658646804,0.265235899889991,0.0578884044399363,0.0161518388506031
"South Dakota",2018,0.812690496296338,0.0227433733642397,0.038849059490952,0.0125839487211457
"Tennessee",2018,0.736065530183855,0.166595174896344,0.0551130648256059,0.0180144490185391
"Texas",2018,0.414076969616413,0.118662964001095,0.39602785117124,0.0497343289255447
"Utah",2018,0.778236407838398,0.011781639648161,0.142278412137528,0.0310011847123079
"Vermont",2018,0.927285529754957,0.0110650024988065,0.0193102655440932,0.0195322042666522
"Virginia",2018,0.613223546069149,0.188446743452006,0.095514215423557,0.0649217481040917
"Washington",2018,0.678221655076556,0.0373491608023843,0.128702712235842,0.0936051332934603
"West Virginia",2018,0.919711246671894,0.0391653265641544,0.013587088942936,0.00775321292346132
"Wisconsin",2018,0.810231341578872,0.0634921617842949,0.0693520743199357,0.0282415205257769
"Wyoming",2018,0.839465016088635,0.00520825219779934,0.099617992269839,0.0111902128477144
"Alabama",2019,0.650695007428845,0.267949914188431,0.0446811613267703,0.0138373322646402
"Alaska",2019,0.600266559131701,0.0252287965880431,0.0714802233628827,0.0732654860603244
"Arizona",2019,0.539941036311757,0.0439695622181766,0.3175216181643,0.0341716816301554
"Arkansas",2019,0.719503652324671,0.155442500573265,0.0768409744304136,0.0189733992002131
"California",2019,0.363324812172679,0.0551819369920037,0.39423633542461,0.148744731472081
"Colorado",2019,0.675504833005021,0.0391358450882277,0.218268904843007,0.0329084368514202
"Connecticut",2019,0.656229919218285,0.101619869592546,0.168259385569801,0.0462936083406469
"Delaware",2019,0.613599393692928,0.220162174818539,0.0962502207927177,0.0389262696094742
"District of Columbia",2019,0.371545691173491,0.442389574763832,0.112897078139679,0.0399136236820739
"Florida",2019,0.529547084034039,0.152523378044903,0.263777464078269,0.0276889040963673
"Georgia",2019,0.518391892269904,0.315509516763154,0.0982348541637646,0.0409787761116798
"Hawaii",2019,0.21552866360801,0.0182269301179768,0.105881746372553,0.470424586403291
